,ACCX_25,ACCX_50,ACCX_75,ACCY_25,ACCY_50,ACCY_75,ACCZ_25,ACCZ_50,ACCZ_75,GYRX_25,GYRX_50,GYRX_75,GYRY_25,GYRY_50,GYRY_75,GYRZ_25,GYRZ_50,GYRZ_75,label
68,-1.810546875,-1.50146484375,-1.361328125,1.04052734375,1.1484375,1.240234375,1.396484375,1.642578125,1.73828125,-195.0,-126.125,139.25,-42.0,115.875,165.4375,-141.28125,157.5,219.9375,1.0
69,-1.623779296875,-1.40673828125,-1.201416015625,1.0009765625,1.1552734375,1.474609375,-1.864990234375,-1.7412109375,-0.587890625,-157.3125,101.0,168.9375,-209.34375,11.0,151.5625,-176.65625,17.25,207.625,0.0
70,-1.69921875,-1.5537109375,-1.35107421875,1.04638671875,1.1064453125,1.34814453125,1.53515625,1.689453125,1.751953125,-202.53125,-144.875,126.75,-6.3125,154.125,187.5625,-221.0,201.75,228.25,1.0
71,-1.5712890625,-1.453125,-1.285400390625,1.072265625,1.1171875,1.5087890625,0.751220703125,1.6884765625,1.8310546875,-168.75,-119.0,128.5,-78.03125,134.125,166.625,-230.0,-200.0,202.625,1.0
72,-1.849609375,-1.740234375,-1.404541015625,0.685546875,0.9443359375,1.126953125,-1.8837890625,-1.81640625,1.5751953125,-163.375,-87.0,197.0,-80.34375,23.4375,101.0,-213.0,-183.625,189.0,1.0
73,-1.557861328125,1.2548828125,1.857421875,0.90625,1.033203125,1.1962890625,1.271484375,1.5849609375,1.74169921875,-205.6875,-156.75,219.5,-61.28125,0.0,103.6875,-226.75,-118.25,235.5,1.0
74,-1.27734375,-0.91455078125,1.595703125,1.59375,1.65625,1.78515625,-0.962890625,-0.798828125,1.259765625,-209.0625,127.0,213.75,-200.90625,-94.875,96.75,-185.5,178.25,212.25,2.0
75,1.150390625,1.1640625,1.177734375,1.751953125,1.798828125,1.84765625,-1.556640625,-1.544921875,-1.513671875,-236.5,225.25,242.75,-247.75,-246.625,-234.625,-245.625,-243.25,-241.125,3.0
76,-1.5966796875,-1.345703125,-1.185302734375,1.11328125,1.216796875,1.50244140625,0.77490234375,1.69140625,1.81787109375,-207.25,-176.6875,88.4375,64.6875,178.5,215.1875,-219.5,-191.25,207.1875,1.0
77,-1.6455078125,-1.4755859375,-1.322509765625,0.916015625,1.1240234375,1.28076171875,-1.7353515625,-1.6181640625,1.78369140625,-182.0,88.375,187.5,-129.875,0.0,136.0,-133.03125,147.75,202.1875,0.0
78,-1.81640625,-1.623046875,1.69140625,1.0078125,1.111328125,1.20703125,-1.705078125,-1.5810546875,-1.404296875,-214.75,180.25,226.75,-173.0,-135.0,14.5,-225.25,-92.5,188.25,0.0
79,-1.544677734375,-1.4384765625,-1.2216796875,-1.6474609375,1.462890625,1.6328125,-1.435546875,-1.169921875,0.748046875,-189.625,-118.09375,123.1875,-191.03125,-126.46875,0.0,-184.625,43.75,198.0,2.0
80,-1.84521484375,1.4931640625,1.78857421875,0.87109375,0.94921875,1.3212890625,-1.912109375,-1.6513671875,1.77099609375,-221.75,210.0,231.0,-155.375,-121.65625,66.625,-206.75,153.125,198.0,0.0
81,-1.5048828125,-1.4921875,-1.482421875,-1.6259765625,-1.57568359375,-1.54052734375,1.189453125,1.205078125,1.22265625,-248.34375,243.0,247.8125,-246.375,-243.5,-112.96875,-246.375,245.125,248.0,3.0
82,-1.224609375,-1.12158203125,-1.0,-1.9423828125,-1.8271484375,1.7060546875,-1.40625,-1.2646484375,-1.01171875,-185.75,185.875,219.125,-223.0,-195.375,1.28125,-213.125,213.25,234.625,2.0
83,1.0546875,1.056640625,1.06201171875,1.810546875,1.814453125,1.818359375,-1.958740234375,-1.955078125,-1.953125,-248.15625,243.75,247.5,-248.25,-247.25,-245.75,-249.0,-248.125,248.5,3.0
84,-1.6103515625,-1.255859375,-1.0791015625,1.138671875,1.33984375,1.51171875,-1.8447265625,-1.763671875,-1.201171875,-159.75,-34.625,54.75,-232.625,188.0,215.75,-205.0,-102.125,215.0,0.0
85,-1.58251953125,-1.4306640625,-1.150390625,0.9453125,1.19921875,1.4482421875,-1.685546875,1.728515625,1.9228515625,-141.125,0.0,124.75,-178.0625,-111.375,65.375,-198.25,-60.375,200.125,0.0
86,1.251953125,1.25390625,1.255859375,1.392578125,1.400390625,1.40625,1.912109375,1.923828125,1.927734375,-247.0,246.0,247.75,-248.125,-245.375,-243.25,-248.5,-247.125,248.25,3.0
87,-1.306640625,-1.2275390625,-0.952392578125,1.408203125,1.724609375,1.8671875,-1.6513671875,-1.232421875,1.568359375,-140.75,55.5,109.8125,-219.125,-198.125,-87.1875,-166.3125,135.25,196.125,2.0
88,-1.7109375,-1.3544921875,-1.230712890625,1.0048828125,1.2548828125,1.416015625,-1.62109375,1.435546875,1.63720703125,-222.46875,-169.5,-90.09375,-3.4375,91.5,161.6875,-179.75,-85.375,189.25,1.0
89,-1.3037109375,-1.2998046875,-1.296875,1.484375,1.490234375,1.49609375,1.45703125,1.46484375,1.470703125,-249.25,247.5,248.75,-248.25,-247.375,-246.625,-249.625,-249.375,-248.0,3.0
90,-1.73828125,-1.6328125,-1.4365234375,0.818359375,1.06640625,1.26953125,-1.82421875,-1.654296875,-1.4951171875,-96.0,93.0,152.25,-176.625,-142.375,52.75,-201.875,178.5,193.75,0.0
91,1.435546875,1.447265625,1.46484375,1.216796875,1.22265625,1.240234375,1.796875,1.826171875,1.875,-243.625,241.5,244.75,-246.25,-244.75,-241.875,-248.875,-247.375,248.5,3.0
92,-1.690673828125,-1.419921875,1.791015625,0.71728515625,1.087890625,1.28076171875,-1.693115234375,-1.47998046875,-0.766357421875,-86.5625,87.0,141.6875,-149.125,-67.875,172.25,-153.875,105.5,176.625,0.0
93,-1.736328125,1.248046875,1.595703125,0.90625,1.130859375,1.244140625,1.62109375,1.759765625,1.87109375,-206.625,-15.75,201.5,-148.375,21.25,104.625,-156.375,130.0,207.0,1.0
94,-1.6875,-1.53515625,-1.384765625,0.90478515625,1.1884765625,1.3134765625,-1.8095703125,1.728515625,1.82421875,-135.75,82.375,154.625,-144.4375,-29.875,84.625,-231.25,-174.25,204.0,0.0
95,-1.60888671875,-1.56640625,-1.371337890625,1.01611328125,1.1591796875,1.29296875,-1.71875,1.5927734375,1.771484375,-154.5,108.375,169.75,-151.75,-102.6875,51.75,-234.375,-198.0,195.0,0.0
96,0.77734375,1.701171875,1.90234375,0.9267578125,1.0498046875,1.158203125,-1.779541015625,-1.642578125,1.51806640625,-218.5625,-183.75,217.3125,-167.6875,-118.0625,0.0,-200.96875,182.875,214.125,0.0
97,-1.557861328125,-1.2939453125,-0.89501953125,1.29150390625,1.5234375,1.716796875,-1.39453125,-0.9873046875,1.140625,-202.46875,-141.75,172.75,-145.125,-127.90625,38.75,-137.75,146.75,231.0,2.0
98,-1.484375,-1.142578125,1.44921875,1.09326171875,1.25390625,1.830078125,-1.22265625,-1.15625,1.4296875,-218.625,-142.53125,134.6875,-192.71875,-144.8125,-78.28125,-139.25,162.75,202.25,2.0
